Blackstreet,No Diggity (feat. Dr. Dre and Queen Pen),R and B,90s,1996,"Swagger, Just dance",Group,Easy,Bass
Blondie,One Way Or Another,Rock,70s,1978,Swagger,,Medium,Alto
Blondie,Heart Of Glass,Rock,70s,1978,"Just dance, Get happy",,Medium,Soprano
Bob Dylan,Maggie’s Farm,Pop,60s and earlier,1965,"Swagger, Get happy",,Easy,Bass
Bon Jovi,Livin’ On A Prayer,Rock,80s,1986,Get happy,,Hard,Tenor
Bon Jovi,It’s My Life,Pop,2000s,2000,"Swagger, Rage on",,Medium,Tenor
Bonnie Raitt,Something To Talk About,Rock,90s,1991,"Bare your soul, Get happy",,Easy,Alto
Bonnie Tyler,Total Eclipse of the Heart,Pop,80s,1983,Bare your soul,,Medium,Mezzo
Boyz II Men,End Of The Road,R and B,2000s,2007,Bare your soul,,Hard,Tenor
Brandy and Monica,The Boy Is Mine,Pop,90s,1998,Bare your soul,Duet,Medium,Alto
Britney Spears,Toxic,Pop,2000s,2003,"Just dance, Swagger",,Hard,Soprano
Britney Spears,Sometimes,Pop,90s,1999,Get happy,,Easy,Mezzo
Britney Spears,...Baby One More Time,Pop,90s,1999,"Just dance, Bare your soul",,Easy,Alto
Britney Spears,Stronger,Pop,2000s,2000,"Swagger, Just dance",,Medium,Mezzo
Bruce Springsteen,Dancing In the Dark,Rock,80s,1984,Just dance,,Medium,Baritone
Bruce Springsteen,Hungry Heart,Rock,80s,1980,Get happy,,Easy,Baritone
Bruno Mars,Grenade,R and B,2010s and beyond,2010,"Rage on, Bare your soul",,Hard,Tenor
Bruno Mars,Just the Way You Are,R and B,2010s and beyond,2010,"Get happy, Just dance",,Medium,Tenor
Bruno Mars,24K Magic,Pop,2010s and beyond,2016,"Get happy, Just dance, Swagger",,Hard,Tenor
BTS,Dynamite,Pop,2010s and beyond,2020,"Just dance, Get happy, Swagger",,Hard,Baritone
Burt Bacharach,I Say A Little Prayer (feat. Dionne Warwick),Pop,60s and earlier,1967,Get happy,,Hard,Soprano
CAKE,The Distance,Rock,90s,1996,"Get happy, Rage on",,Medium,Bass
Calvin Harris,Feel So Close,Dance,2010s and beyond,2011,"Just dance, Get happy",,Easy,Bass
Carly Rae Jepsen,Call Me Maybe,Pop,2010s and beyond,2012,"Just dance, Get happy",,Medium,Mezzo
Carly Simon,You’re so Vain,Pop,70s,1972,Rage on,,Easy,Mezzo
Carole King,I Feel The Earth Move,Pop,70s,1971,Swagger,,Easy,Mezzo
"Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, and Stephanie Beatriz",We Don’t Talk About Bruno (from Encanto),Stage and Screen,2010s and beyond,2021,"Swagger, Just dance",,Easy,Mezzo
Carrie Underwood,Before He Cheats,Country,2000s,2005,Rage on,,Medium,Alto
CeeLo Green,Forget You,R and B,2010s and beyond,2011,"Rage on, Just dance, Swagger",,Medium,Tenor
Céline Dion,It’s All Coming Back to Me Now,Pop,90s,1996,Bare your soul,,Hard,Soprano
Céline Dion,My Heart Will Go On (from Titanic),Stage and Screen,90s,1997,Bare your soul,,Hard,Soprano
Céline Dion and Peabo Bryson,Beauty and the Beast (from Beauty and the Beast),Stage and Screen,90s,1992,Bare your soul,Duet,Hard,"Soprano, Tenor"
Chaka Khan,I’m Every Woman,Rock,70s,1979,"Just dance, Swagger",,Hard,Soprano
Cheap Trick,I Want You to Want Me,Rock,70s,1977,Just dance,,Easy,Baritone
Cher,Believe,Pop,90s,1998,Just dance,,Medium,Mezzo
Cher,If I Could Turn Back Time,Pop,80s,1989,"Just dance, Bare your soul",,Medium,Mezzo
Chicago,You’re the Inspiration,Pop,80s,1983,Get happy,,Medium,Tenor
Chris Isaak,Wicked Game,Rock,80s,1989,Bare your soul,,Medium,Bass
Christina Aguilera,Ain’t No Other Man,Pop,2000s,2006,"Just dance, Get happy",,Hard,Soprano
Christina Aguilera,Beautiful,Pop,2000s,2002,Bare your soul,,Hard,Alto
Coldplay,Viva La Vida,Pop,2000s,2008,Bare your soul,,Medium,Bass
Coldplay,Yellow,Pop,90s,1999,Bare your soul,,Easy,Tenor
Coolio,Gangsta’s Paradise (feat. L.V.),Rap/Hip hop,90s,1995,Swagger,,Hard,Bass
Creedence Clearwater Revival,Bad Moon Rising,Rock,60s and earlier,1969,Rage on,,Easy,Tenor
Cyndi Lauper,Time After Time ,Pop,80s,1984,Get happy,,Medium,Soprano
Danny Elfman,This is Halloween,Stage and Screen,80s,1983,Get happy,Group,Hard,Bass
David Bowie,Modern Love,Rock,80s,1983,"Just dance, Get happy",,Medium,Baritone
David Bowie,Under Pressure,Rock,80s,1982,Get happy,,Medium,Baritone
Def Leppard,Pour Some Sugar On Me,Rock,80s,1987,Swagger,,Medium,Baritone
Deniece Williams,Let’s Hear It for the Boy (From Footloose Original Soundtrack),Stage and Screen,80s,1984,"Just dance, Swagger",,Medium,Mezzo
Depeche Mode,People Are People,Pop,80s,1984,Just dance,,Easy,Bass
Depeche Mode,Policy Of Truth,Pop,80s,1989,"Just dance, Bare your soul",,Easy,Bass
Destiny’s Child,Say My Name,R and B,90s,1999,Swagger,Group,Hard,Mezzo
Destiny’s Child,Survivor,R and B,2000s,2000,Rage on,,Medium,Alto
Diana Ross,I’m Coming Out,Pop,80s,1980,"Get happy, Just dance",,Medium,Soprano
Diana Ross and Lionel Richie,Endless Love (From The Endless Love Soundtrack),Stage and Screen,2000s,2006,Bare your soul,Duet,Hard,"Mezzo, Baritone"
Dolly Parton,Jolene,Country,70s,1974,Bare your soul,,Easy,Soprano
Dolly Parton and Kenny Rogers,Islands In The Stream,Pop,80s,1984,Get happy,Duet,Medium,"Mezzo, Baritone"
Donny Osmond and Chorus - Mulan,I’ll Make a Man Out of You (From Mulan),Stage and Screen,90s,1998,Swagger,,Medium,Baritone
Dr. Dre,Forgot About Dre (feat. Eminem),Rap/Hip hop,90s,1999,"Swagger, Rage on",Duet,Hard,Bass
Dua Lipa,Levitating (feat. DaBaby),Pop,2010s and beyond,2020,"Just dance, Get happy",Duet,Medium,Mezzo
Dua Lipa,New Rules,Pop,2010s and beyond,2017,Just dance,,Medium,Alto
Dua Lipa,IDGAF,Pop,2010s and beyond,2017,"Rage on, Swagger",,Medium,Alto
Dusty Springfield,Son of a Preacher Man,R and B,60s and earlier,1965,Swagger,,Easy,Soprano
Eagles,Take It Easy,Rock,70s,1972,"Bare your soul, Get happy",,Easy,Baritone
Ed Sheeran,Shape of You,Pop,2010s and beyond,2017,"Just dance, Get happy",,Easy,Baritone
Ed Sheeran,Perfect Duet (feat. Beyoncé),Pop,2010s and beyond,2017,Bare your soul,Duet,Medium,"Mezzo, Baritone"
Ed Sheeran,Shivers,Pop,2010s and beyond,2021,Just dance,,Easy,Baritone
Ella Fitzgerald and Louis Armstrong,Dream A Little Dream Of Me,Jazz,60s and earlier,1950,"Get happy, Swagger",Duet,Medium,"Alto, Bass"
Elton John,Your Song,Pop,70s,1970,Bare your soul,,Easy,Baritone
Elton John and Kiki Dee,Don’t Go Breaking My Heart,Pop,70s,1973,"Get happy, Just dance",Duet,Medium,"Soprano, Tenor"
Elvis Presley,Can’t Help Falling In Love,Rock,80s,1987,Bare your soul,,Easy,Bass
Elvis Presley,Jailhouse Rock,Pop,60s and earlier,1957,"Get happy, Just dance, Swagger",,Easy,Bass
Elvis Presley,Hound Dog,Rock,60s and earlier,1956,"Just dance, Rage on",,Easy,Bass
Elvis Presley,Suspicious Minds,Rock,60s and earlier,1969,Bare your soul,,Easy,Bass
Eminem,Lose Yourself (From 8 Mile Soundtrack),Stage and Screen,2000s,2002,"Swagger, Rage on",,Hard,Tenor
Eminem,Love The Way You Lie (feat. Rihanna),Rap/Hip hop,2010s and beyond,2010,Rage on,Duet,Hard,"Mezzo, Baritone"
Enrique Iglesias,Hero,Latin,2000s,2001,Bare your soul,,Easy,Baritone
Erasure,A Little Respect,Pop,80s,1988,"Bare your soul, Just dance",,Medium,Tenor
Etta James,At Last,R and B,60s and earlier,1961,Bare your soul,,Hard,Soprano
Etta James,I’d Rather Go Blind,R and B,60s and earlier,1967,Bare your soul,,Medium,Mezzo
"Eurythmics, Annie Lennox and Dave Stewart",Sweet Dreams (Are Made of This),Rock,80s,1983,Just dance,,Easy,Mezzo
Evanescence,Bring Me To Life,Rock,2000s,2003,"Bare your soul, Rage on",,Medium,Soprano
Extreme,More Than Words,Rock,90s,1990,Bare your soul,,Medium,Tenor
Faith Hill,This Kiss,Pop,90s,1998,Get happy,,Easy,Mezzo
Fergie,Fergalicious (feat. will.i.am),R and B,2000s,2006,"Just dance, Swagger",,Easy,Mezzo
Fiona Apple,Criminal,Pop,90s,1996,"Rage on, Bare your soul",,Hard,Alto
Fleetwood Mac,Landslide,Pop,70s,1975,Bare your soul,,Easy,Alto
Fleetwood Mac,Dreams,Pop,70s,1977,Bare your soul,,Easy,Alto
Flo Rida,My House,Rap/Hip hop,2010s and beyond,2015,Get happy,,Easy,Bass
Florence + The Machine,Dog Days Are Over,Pop,2000s,2009,Bare your soul,,Hard,Mezzo
Four Tops,Baby I Need Your Loving,R and B,60s and earlier,1964,Get happy,Group,Medium,Baritone
Frank Sinatra,My Way,Jazz,60s and earlier,1968,"Swagger, Get happy",,Medium,Bass
Frank Sinatra,Fly Me To The Moon,Jazz,60s and earlier,1964,"Bare your soul, Get happy",,Hard,Bass
Frank Sinatra and Nancy Sinatra,Somethin’ Stupid,Pop,60s and earlier,1967,Get happy,Duet,Easy,"Alto, Bass"
Frankie Valli,Can’t Take My Eyes off You,Pop,60s and earlier,1967,Get happy,,Easy,Tenor
Fred Astaire,Puttin’ On The Ritz,Stage and Screen,60s and earlier,1952,Get happy,,Medium,Baritone
Fugees and Ms. Lauryn Hill,Killing Me Softly with His Song,Rap/Hip hop,90s,1996,"Swagger, Bare your soul",,Easy,Mezzo
Garbage,Only Happy When It Rains,Pop,90s,1995,Rage on,,Medium,Mezzo
George Michael,Careless Whisper,R and B,80s,1984,Bare your soul,,Easy,Baritone
George Michael,Faith,R and B,80s,1987,Get happy,,Medium,Baritone
George Michael,One More Try,Pop,80s,1987,Bare your soul,,Hard,Tenor
George Michael,Freedom! ’90 ,Pop,90s,1990,"Get happy, Just dance, Swagger",,Easy,Baritone
Gin Blossoms,Hey Jealousy,Rock,90s,1995,Bare your soul,,Easy,Baritone
Ginuwine,Pony,R and B,90s,1996,Swagger,,Medium,Tenor
Gladys Knight and The Pips,Midnight Train To Georgia,R and B,70s,1973,Bare your soul,,Hard,Mezzo
Glee Cast,It Must Have Been Love (Glee Cast Version),Stage and Screen,2010s and beyond,2015,Bare your soul,Duet,Medium,"Mezzo, Baritone"
Gloria Estefan,Here We Are,Pop,80s,1989,Bare your soul,,Hard,Mezzo
Gloria Gaynor,I Will Survive,R and B,70s,1979,"Swagger, Just dance, Get happy",,Easy,Mezzo
Gotye,Somebody That I Used To Know (Tiesto Remix),Dance,2010s and beyond,2012,"Just dance, Rage on, Bare your soul",,Medium,Tenor
Green Day,Boulevard of Broken Dreams,Rock,2000s,2004,"Bare your soul, Rage on",,Easy,Bass
Green Day,American Idiot,Rock,2000s,2004,Rage on,,Easy,Baritone
Guns N’ Roses,Sweet Child O’ Mine,Rock,80s,1987,Get happy,,Hard,Tenor
Guns N’ Roses,Don’t Cry,Pop,90s,1991,"Bare your soul, Rage on",,Hard,Tenor
Heart,Alone,Rock,80s,1987,"Bare your soul, Rage on",,Medium,Soprano
"High School Musical Cast, Vanessa Hudgens and Zac Efron",Can I Have This Dance,Pop,2000s,2008,"Bare your soul, Get happy",Duet,Medium,"Mezzo, Baritone"
Hilary Duff,So Yesterday,Pop,2000s,2003,"Rage on, Swagger",,Easy,Alto
Howie Day,Collide,Rock,2000s,2003,Bare your soul,,Easy,Bass
Hozier,Take Me to Church,Rock,2010s and beyond,2013,"Rage on, Bare your soul",,Medium,Bass
Huey Lewis And The News,The Power Of Love,Pop,80s,1985,"Swagger, Get happy",,Medium,Baritone
Icona Pop,I Love It (feat. Charli XCX),Dance,2010s and beyond,2012,"Rage on, Just dance",,Medium,Soprano
Incubus,Drive,Rock,90s,1999,Bare your soul,,Easy,Baritone
INXS,Never Tear Us Apart,Pop,80s,1987,Bare your soul,,Easy,Baritone
INXS,Need You Tonight,Pop,80s,1987,Just dance,,Medium,Bass
James Taylor,You’ve Got A Friend,Rock,70s,1971,Bare your soul,,Easy,Bass
Janet Jackson,All For You,R and B,2000s,2001,Just dance,,Medium,Mezzo
Janet Jackson,Escapade,Pop,80s,1989,"Just dance, Get happy",,Medium,Soprano
Janis Joplin,Move Over,Pop,70s,1970,"Rage on, Swagger",,Medium,Alto
Jason Derulo,Talk Dirty (feat. 2 Chainz),Pop,2010s and beyond,2013,"Swagger, Just dance",,Medium,Tenor
Jason Mraz,Lucky,Pop,2000s,2008,"Get happy, Bare your soul",Duet,Medium,"Soprano, Tenor"
Jefferson Airplane,White Rabbit,Rock,60s and earlier,1967,"Rage on, Bare your soul",,Hard,Soprano
Jennifer Lopez,Love Don’t Cost A Thing,Pop,2000s,2001,"Just dance, Swagger",,Medium,Mezzo
Jennifer Lopez,Waiting For Tonight,Pop,90s,1999,Just dance,,Medium,Soprano
Jennifer Lopez,Let’s Get Loud,Dance,90s,1999,Just dance,,Medium,Mezzo
Jerry Lee Lewis,Great Balls Of Fire,Rock,60s and earlier,1957,"Get happy, Just dance",,Medium,Baritone
"Jessie J, Ariana Grande and Nicki Minaj",Bang Bang,Pop,2010s and beyond,2014,Swagger,Duet,Medium,Soprano
Jimmy Eat World,The Middle,Rock,2000s,2001,Get happy,,Easy,Baritone
Joan Jett And The Blackhearts,I Love Rock ’N Roll,Rock,80s,1981,Swagger,,Easy,Mezzo
Joan Jett And The Blackhearts,Bad Reputation,Pop,80s,1981,"Swagger, Rage on",,Easy,Mezzo
Jodi Benson,Part of Your World (From The Little Mermaid),Stage and Screen,80s,1989,Bare your soul,,Medium,Soprano
John Legend,All of Me,R and B,2010s and beyond,2013,"Bare your soul, Get happy",,Medium,Bass
John Lennon,Imagine,Pop,70s,1971,Bare your soul,,Easy,Baritone
John Travolta and Olivia Newton-John,Summer Nights (From Grease),Stage and Screen,70s,1971,Get happy,Duet,Easy,"Mezzo, Baritone"
Johnny Cash,Hurt,Rock,2000s,2003,Bare your soul,,Easy,Bass
Johnny Cash,Ring Of Fire,Country,60s and earlier,1963,Swagger,,Easy,Bass
Johnny Cash,Folsom Prison Blues,Country,60s and earlier,1956,Swagger,,Easy,Bass
Johnny Cash,Daddy Sang Bass,Pop,90s,1999,"Swagger, Get happy",,Easy,Bass
Johnny Cash,Ring Of Fire (feat. The Carter Family),Country,60s and earlier,1963,"Bare your soul, Swagger",,Easy,Bass
JoJo,Too Little Too Late,R and B,2000s,2006,"Bare your soul, Rage on",,Hard,Soprano
Joni Mitchell,Both Sides Now,Rock,60s and earlier,1969,Bare your soul,,Medium,Soprano
Journey,Don’t Stop Believin’,Pop,80s,1981,"Get happy, Swagger",,Hard,Tenor
JP Saxe,If the World Was Ending (feat. Julia Michaels),Pop,2010s and beyond,2019,Bare your soul,Duet,Medium,"Mezzo, Baritone"
Julie Andrews,My Favorite Things (from The Sound Of Music),Stage and Screen,60s and earlier,1965,Get happy,,Medium,Soprano
